PSA_Id,Domain,Class,English,Kiswahili,Dholuo
PSA0001,Media,General,"The station’s programs are specifically tailored to align with Luo identity, addressing their preferences and expectations.",,
PSA0002,Media,General,"Ramogi FM has successfully blended Luo culture and values with charismatic personalities, offering a diverse mix that captivates its audience.",,
PSA0003,Media,General,"While its primary target audience is the Luo community, Ramogi FM also appeals to anyone who appreciates and understands Dholuo music, culture, information, and entertainment.",,
PSA0004,Media,General,"The station is a received on the following frequencies Nairobi 107.1FM, Kisumu 107.6 FM, Siaya 98.4 FM, Homabay 97.0FM, Migori 95.4FM and 98.6FM, Mombasa 99.2FM, Nakuru 95.4 FM.",,
PSA0005,Media,General,"It seeks to inform, entertain and educate at the start of every new week day.",,
PSA0006,Media,General,A Ramogi Fm Mid-Morning Program that provides the platform for the general public especially the female...,,
PSA0007,Media,General,Kogalo time is a weekly sports magazine show on soccer giants Gor Mahia.,,
PSA0008,Media,General,"The drive show that is packed with news, reviews, music, sports updates and business news...",,
PSA0009,Media,General,The title loosely translated from the Lingala language means Dance Dance a Youth centric show.,,
PSA0010,Media,General,A captivating Luo cultural program that delves into the intricacies of Luo...,,
PSA0011,Media,General,A marriage counselling program that tackles challenges bedevilling marriages in the world today.,,
PSA0012,Media,General,This is the Station’s omnibus show that runs late night to dawn largely taking a slice of time...,,
PSA0013,Media,General,A prominent Sabbath show that serves as a source of spiritual nourishment every Saturday morning.,,
PSA0014,Media,General,"""Kwe E Ber Budho"" is a Luo phrase that embodies the concept of peaceful coexistence within families, society...",,
PSA0015,Media,General,"An evening talk show that addresses a wide range of issues, delving deep into the heart of each topic.",,
PSA0016,Media,General,An exhilarating music chart show that takes listeners on a captivating journey through the vibrant world of...,,
PSA0017,Media,General,"The Friday Night Hype Show, Pure Musical Hits across the genres.",,
PSA0018,Media,General,A purely weekly gospel inspirational program revolving around praise and worship songs...,,
PSA0019,Media,General,"This is a Kids Show packed with fun, educative and informative pieces.",,
PSA0020,Media,General,This is a weekly talk show that runs from 10:00am to 11am every Saturday.,,
PSA0021,Media,General,"A rich nostalgic show Featuring benga music of yesteryears giving a detailed history of bands, songs...",,
PSA0022,Media,General,This is Ramogi FM’s Saturday Sports and Music Youth Show and the...,,
PSA0023,Media,General,This is an hour’s show that winds up the Sabbath for our seventh day...,,
PSA0024,Media,General,This is an easy and slow musical show that unwinds your Saturday evening interlaced with a few shout outs...,,
PSA0025,Media,General,A relaxed Sunday afternoon Musical Show that Purely gives a dose of nostalgic and therapeutic Rhumba...,,
PSA0026,Media,General,This is a health discussion show where a health expert gives information regarding some common ailments...,,
PSA0027,Media,General,Wapuonjre Dholuo loosely translated as “Let’s learn dholuo language” is...,,
PSA0028,Media,General,This is a pre recorded catholic mix songs to wind down your Sunday after church.,,
PSA0029,Media,General,This is a very entertaining Sunday evening non-stop music show that starts immediately after 7 o’clock...,,
PSA0030,Media,General,"RMS operates multiple television and stations, allowing it to reach audiences across different regions and linguistic communities in Kenya.",,
PSA0031,Media,General,"Citizen TV, in particular, has gained immense popularity and has become one of the most-watched free-to-air TV channels in Kenya.",,
PSA0032,Media,General,"Citizen TV caters to audiences speaking English and Swahili, while Inooro TV targets the Mt.",,
PSA0033,Media,General,It is the fastest growing digital news outlet in Kenya today.,,
PSA0034,Media,General,"Our lineup features a wholesome bouquet of shows available in both national and local languages, ensuring that viewers across Kenya can enjoy content in their mother tongue.",,
PSA0035,Media,General,This commitment to diversity provides an invaluable opportunity for many Kenyans to engage with media that resonates deeply with their cultural identity and community.,,
PSA0036,Media,General,RMS has launched crucial sustainability projects across its media outlets to inform and educate the nation about the great need to protect and conserve the environment.,,
