PSA_Id,Domain,Class,English,Kiswahili,Dholuo,Fact_Source,Source,Somali
1,Health,General,The public is informed about the Social Health Authority (SHA) registration for universal health coverage.,Umma unafahamishwa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.,Oganda ong’eyo wach mar ndiko nying’ e Ofis mar Thieth mar Oganda (SHA) mondo oyud thieth mar ji duto.,h01,grounded_generated,Dadweynaha waxaa lala socodsiinayaa wax ku saabsan diiwaangelinta Maamulka Caafimaadka Bulshada (SHA) ee caymiska caafimaadka caalamiga ah.
2,Health,General,The public is informed about the Linda Mama programme providing free maternity care at public health facilities.,Umma unafahamishwa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,Oganda ong’ere kuom chenro mar Linda Mama ma chiwo thieth mar nyuol ma nono e kuonde thieth mag oganda.,h02,grounded_generated,Dadweynaha waxaa lala socodsiinayaa barnaamijka Linda Mama oo daryeelka hooyada ee bilaashka ah ka bixinaya xarumaha caafimaadka dadweynaha.
3,Health,General,The public is informed about routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Umma unafahamishwa kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,Oganda ng’eyo kuom chiwo thieth ma pile ka pile ne nyithindo e bwo chenro mar chiwo thieth ma pile ka pile e bwo chenro mar chiwo thieth (KEPI).,h03,grounded_generated,Dadweynaha waxaa lagu wargeliyaa tallaalka joogtada ah ee carruurnimada ee hoos yimaada Barnaamijka Balaadhinta Tallaalka ee Kenya (KEPI).
4,Health,General,The public is informed about free tuberculosis (TB) diagnosis and treatment at public health facilities.,Umma unafahamishwa kuhusu uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,Oganda yudo ng’eyo kuom ng’eyo kod thieth mar tuo mar TB ma onge chudo e kuonde thieth mag oganda.,h04,grounded_generated,Dadweynaha waxa lala socodsiinayaa ogaanshaha iyo daawaynta tiibishada bilaashka ah ee xarumaha caafimaadka dadweynaha.
5,Health,General,The public is informed about distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Umma unafahamishwa kuhusu usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,Oganda ong’ere kuom keto gik ma nyalo tiyo kuom thuolo malach ma nyalo nego winyo mondo ogeng’ malaria.,h05,grounded_generated,Dadweynaha waxaa lagu wargelinayaa qaybinta maro-kaneecada cayayaanka ee muddada dheer si looga hortago duumada.
6,Health,General,The public is informed about HPV vaccination for adolescent girls to prevent cervical cancer.,Umma unafahamishwa kuhusu chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,Oganda ong’ere kuom chiwo chanjo mar HPV ne nyiri ma hikgi tin mondo kik giyud tuwo mar kansa mar ot mar dhako.,h06,grounded_generated,Dadweynaha waxaa lala socodsiinayaa tallaalka HPV ee gabdhaha qaan-gaarka ah si looga hortago kansarka ilmo-galeenka.
7,Health,General,The public is informed about community health promoters (CHPs) offering household health education and referrals.,Umma unafahamishwa kuhusu wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,Oganda ong’ere kuom jogo ma rito thieth mar oganda (CHPs) ma chiwo somo mar thieth mar ot kod jogo ma orogi.,h07,grounded_generated,Dadweynaha waxaa lagu wargeliyaa dhiirrigeliyeyaasha caafimaadka bulshada (CHPs) oo bixiya waxbarashada caafimaadka qoyska iyo gudbinta.
8,Health,General,The public is informed about free HIV testing and counselling services at public health facilities.,Umma unafahamishwa kuhusu huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,Oganda ong’ere kuom timo pim mag HIV ma nono kod chiwo paro e kuonde thieth mag oganda.,h08,grounded_generated,Dadweynaha waxa lala socodsiinayaa adeegyada baadhista iyo la-talinta HIV-ga ee bilaashka ah ee xarumaha caafimaadka dadweynaha.
9,Health,General,The public is informed about screening for non-communicable diseases such as diabetes and hypertension.,Umma unafahamishwa kuhusu uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,Oganda ong’ere kuom ng’iyo tuoche ma ok nyal landore kaka tuoche mag sukari kod tuoche mag presa.,h09,grounded_generated,Dadweynaha waxaa lagu wargelinayaa baaritaanka cudurrada aan la is qaadsiin karin sida sonkorowga iyo dhiig-karka.
10,Health,General,The public is informed about mental health support services under the national mental health action plan.,Umma unafahamishwa kuhusu huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,Oganda ong’ere kuom tich mar konyo jotuwo mag paro e bwo chenro mar piny mangima mar timo gik moko e wi thieth mar paro.,h10,grounded_generated,Dadweynaha waxaa lagu wargeliyaa adeegyada taageerada caafimaadka dhimirka ee hoos yimaada qorshaha waxqabadka caafimaadka dhimirka ee qaranka.
