PSA_Id,Domain,Class,English,Kiswahili,Dholuo
3802,Health,General,Ensuring food safety through rigorous analysis at the,Kuhakikisha usalama wa chakula kwa njia ya uchambuzi wa kina katika,Neno ni chiemo nigi arita maber kokalo kuom nono matut e kar
3803,Health,Malaria,Malaria vaccination targeting children within Kenya's lake-endemic region,Chanjo ya malaria inayolenga watoto katika eneo la ziwa la Kenya,Chanjo mar maleria ma ochung’ ne nyithindo ma ni e alwora mar nam ma Kenya
3804,Health,General,Healthcare IT Digitization Programme Steering Committee Reviews Progress on UHC Digital Transformation,Kamati ya Uendeshaji ya Mpango wa Uwekaji Dijiti wa IT katika Huduma ya Afya Inakagua Maendeleo ya Ubadilishaji Dijiti wa UHC,Komiti ma tayo chenro mar keto IT e yore mag thieth nono dongruok e weche mag loko yore mag UHC
3805,Health,General,Kenya Strengthens Partnership with GE Healthcare to Advance UHC and Digital Health,Kenya Inaimarisha Ushirikiano na GE Healthcare ili Kuendeleza UHC na Afya ya Kidijitali,Kenya Omedo Teko Riwruok gi GE Thieth mondo Omed UHC kod Thieth mar Dijital
3806,Health,General,PS Mary Muthoni Rallies Health Regulators to Strengthen Coordination and Public Health Oversight,PS Mary Muthoni akutana na Wadhibiti wa Afya ili Kuimarisha Uratibu na Uangalizi wa Afya ya Umma,PS Mary Muthoni Ochoko Jotend Thieth mondo ojing' Riwruok kod Rieko Thieth mar Oganda
3807,Health,General,Kenya and India Deepen Health Partnership to Advance Universal Health Coverage,Kenya na India Zaimarisha Ushirikiano wa Afya ili Kuendeleza Huduma ya Afya kwa Wote,Kenya kod India Omedo Riwruok e weche Thieth mondo gidhi nyime gi thieth e piny mangima
3808,Health,General,RUSH Kenya Rural and Urban Sanitation & Hygiene Monitoring System,RUSH Kenya Usafi wa Mazingira Vijijini na Mijini & Mfumo wa Ufuatiliaji wa Usafi,RUSH Kenya chenro mar luwo ler kod ler mar gwenge kod boma
3809,Health,General,Visit the Kenya Rural and Urban Sanitation & Hygiene Monitoring System Portal,Tembelea Tovuti ya Kenya ya Mfumo wa Ufuatiliaji wa Usafi wa Mazingira Vijijini na Mijini na Mfumo wa Ufuatiliaji wa Usafi,Lim Oboke mar Kenya mar ng’iyo ler kod ler mar gwenge kod bombe
3810,Health,General,The State Department plays a crucial role in shaping healthcare in our country.,Idara ya Jimbo ina jukumu muhimu katika kuunda huduma ya afya katika nchi yetu.,Ofis mar pinyno nigi tich maduong’ ahinya e loso yore mag thieth e pinywa.
3811,Health,General,"From setting medical services policy to providing curative health services and managing health policy and administration, they are committed to ensuring the well-being of our citizens.","Kuanzia kuweka sera ya huduma za matibabu hadi kutoa huduma za afya za tiba na kusimamia sera ya afya na utawala, wamejitolea kuhakikisha ustawi wa raia wetu.","Chakre keto chik mar thieth nyaka e chiwo thieth ma kelo thieth kod rito chik mar thieth kod rito, gichiwore mar neno ni jopinywa odak maber."
3812,Health,General,The State Department is responsible for critical functions related to public health and professional standards.,Idara ya Jimbo inawajibika kwa kazi muhimu zinazohusiana na viwango vya afya ya umma na taaluma.,Ofis mar pinyno nigi ting’ mar timo tije madongo ma tudruok gi thieth mar oganda kod rang’iny mar jotich.
3813,Health,General,"They develop policies on public health and sanitation, ensuring the well-being of our communities.","Wanaunda sera kuhusu afya ya umma na usafi wa mazingira, kuhakikisha ustawi wa jamii zetu.","Giloso chike mag thieth mar oganda kod ler, mondo gibed gi ngima maber e alworawa."
3814,Health,General,"The Kenya Medical Training College (KMTC) is a State Corporation established through an Act of Parliament under the Ministry of Health, entrusted with the role of training various disciplines in the health sector to serve the Kenyan interests, East Africa and beyond.","Chuo cha Mafunzo ya Tiba cha Kenya (KMTC) ni Shirika la Serikali lililoanzishwa kupitia Sheria ya Bunge chini ya Wizara ya Afya, lililokabidhiwa jukumu la kutoa mafunzo kwa taaluma mbalimbali katika sekta ya afya ili kuhudumia maslahi ya Kenya, Afrika Mashariki na kwingineko.","Kolej mar puonjruok mar thieth e piny Kenya (KMTC) en riwruok mar piny ma ochung’ kokalo kuom chik mar bura ma ni e bwo ng’wech mar thieth, ma omiye tich mar puonjo weche mopogore opogore e sekta mar thieth mondo otim tich ne dwaro mag piny Kenya, Afrika ma Wuokchieng’ kod ma oko."
3815,Health,Child Protection,A National Handbook Guide For Integration Of Mental Health Services Into Maternal And Child Health Services For Pregnant Adolescents,Mwongozo wa Kitaifa wa Mwongozo wa Ujumuishaji wa Huduma za Afya ya Akili katika Huduma za Afya ya Mama na Mtoto kwa Vijana Wajawazito.,Oboke mar piny mangima mar keto tich mar thieth mar paro e tich mar thieth mar min kod nyithind nyithindo ma nigi ich
3816,Health,General,"A Two of Meeting with Parliamentary Committee on Health Addressing Human Resources, Programs and Legal Issues","Mikutano Miwili na Kamati ya Bunge ya Afya inayoshughulikia Rasilimali Watu, Mipango na Masuala ya Kisheria","A Ariyo mar Chokruok gi Komiti mar Od Romo mar Thieth ma Ochung’ne Gik Motudore gi Dhano, Program kod Weche mag Chike"
3817,Health,General,AAR Hospital Achieves SafeCare Level 5 Certification as Health CS Duale Reinforces Push for Quality and Patient Safety,Hospitali ya AAR Yafanikisha Cheti cha Kiwango cha 5 cha Utunzaji Salama kwani CS Duale ya Afya Inaimarisha Usukuma kwa Ubora na Usalama wa Mgonjwa,Osiptal mar AAR Oyudo Oboke mar SafeCare mar Rang’iny mar 5 kaka CS Duale mar Thieth Keto Teko mar Keto Kido Maber kod Rieko mar Jotuwo
3818,Health,General,AAR Hospital Launch Marks Progress Towards Accessible Healthcare In Kenya,Uzinduzi wa Hospitali ya AAR Waashiria Maendeleo Kuelekea Kupatikana kwa Huduma ya Afya Nchini Kenya,Chakruok mar Osiptal mar AAR Nyiso Dhi nyime e Chiwo Thieth Manyalo Chopo e Kenya
3819,Health,General,Activation of Community Health Program to enhance hygiene in public places.,Uanzishaji wa Mpango wa Afya ya Jamii ili kuimarisha usafi katika maeneo ya umma.,Tiyo gi chenro mar thieth mar oganda mondo omed ler e kuonde ma ji mang’eny romoe.
3820,Health,General,"1 Proposed Construction of Level 3A Hospital In Khwisero, Kakamega County, For Ministry Of Health","1 Pendekezo la Ujenzi wa Hospitali ya Level 3A Katika Khwisero, Kaunti ya Kakamega, Kwa Wizara ya Afya","1 Oketo paro mar gero od thieth mar rang'iny mar adek e Khwisero, kaunti mar Kakamega, ne od thieth mar thieth"
3821,Health,General,"1 Provision of Medical Equipment Service, Repair and Maintenance of Medical Equipment Deployed to Selected Hospitals by the Ministry of Health (MOH)","1 Utoaji wa Huduma ya Vifaa vya Tiba, Ukarabati na Matengenezo ya Vifaa vya Tiba Vinavyopelekwa katika Hospitali Teule na Wizara ya Afya (MOH)","1 Chiwo Tich mar Gige Thieth, Loso kod Rito Gige Thieth ma Oter e Osiptal Moyier gi Ofis mar Thieth (MOH)"
3822,Health,Child Protection,Addressing Child Wasting and Malnutrition Crisis in the Horn of Africa: Kenya's Commitment to Action,Kushughulikia Upotevu wa Watoto na Mgogoro wa Utapiamlo katika Pembe ya Afrika: Ahadi ya Kenya ya Kuchukua Hatua,Tiyo gi Pek mar Ketho Nyithindo kod Chiemo ma Ok Owinjore e Tung’ mar Afrika: Chiwruok mar Kenya mar timo gimoro
3823,Health,General,ADMINISTRATIVE FRAMEWORK FOR IMPLEMENTATION OF THE MANDATORY INBOUND TRAVEL HEALTH INSURANCE PROGRAM,MFUMO WA UTAWALA WA UTEKELEZAJI WA MPANGO WA LAZIMA WA BIMA YA AFYA YA KUSAFIRI.,CHEN MAR TELO MAR TIYO CHEN MAR INSURANS MAR THUT MAR WUOTH MAR PINY
3824,Health,General,Advancing Healthcare Through Laboratories: Kenya's Path to Universal Health Coverage,Kuendeleza Huduma ya Afya Kupitia Maabara: Njia ya Kenya kwenye Huduma ya Afya kwa Wote,Dhi nyime e thieth kokalo kuom laboratori: Yo ma Kenya luwo mar yudo thieth e piny mangima
3825,Health,General,Advancing Implementation of the Electronic Community Health Information System (E-CHIS),Kuendeleza Utekelezaji wa Mfumo wa Kielektroniki wa Taarifa za Afya ya Jamii (E-CHIS),Dhi nyime e keto e tim sistem mar weche mag thieth mag oganda (E-CHIS)
3826,Health,General,Advocating for Increased Resources to Enhance Preventive and Promotive Health Programs,Kutetea Rasilimali Zilizoongezeka ili Kuimarisha Mipango ya Afya ya Kinga na Kukuza,Kuong’o mondo omed mwandu mondo omed loso chenro mag geng’o kendo medo thieth
3827,Health,General,UPDATED HEALTH MEASURES TO ENTER VARIOUS COUNTRIES (6th May 2022),"HATUA ZILIZOSASISHA ZA AFYA KUINGIA KATIKA NCHI MBALIMBALI (Mei 6, 2022)",YORE MOKETI MAR CHIK MOCHOPO E PINJE MOPOGORE (6 dwe mar abich higa mar 2022)
3828,Health,COVID-19,ADDENDUM – Covid-19 Antigen Rapid Diagnostic Testing Interim Guide – Kenya January 2021,NYONGEZA - Mwongozo wa Muda wa Uchunguzi wa Uchunguzi wa Haraka wa Covid-19 - Kenya Januari 2021,MAR MEDO – Yor Pim Mapiyo mar Fwenyo Tuwo mar Covid-19 – Kenya dwe mar achiel dwe mar achiel higa mar 2021
3829,Health,COVID-19,A Comprehensive Guide on Mental Health & Psychosocial Support during Covid-19 Pandemic,Mwongozo wa Kina wa Afya ya Akili na Usaidizi wa Kisaikolojia wakati wa Janga la Covid-19,Oboke matut kuom thieth mar paro kod kony mar paro e kinde ma tuo mar Covid-19
