Token,Frequency,Is_Acronym,Full_Name
HIV,1136,,
SHA,1075,,
HPV,1057,,
KALRO,1045,,
NCPB,1044,,
KIAMIS,1039,,
KCSAP,1027,,
NARIGP,1024,,
KEPI,1020,,
TB,885,,
EACC,875,,
IEBC,865,,
KCSE,827,,
CBC,817,,
KUCCPS,800,,
KNEC,796,,
IPOA,791,,
NACADA,776,,
NTSA,776,,
KCPE,769,,
NG-CDF,768,,
JSS,768,,
DCI,761,,
HELB,758,,
TSC,708,,
GBV,662,,
NGAAF,621,,
FGM,202,,
PSA,108,,
COVID,85,,
WHO,74,,
TVET,64,,
MAR,60,,
NPS,35,,
CS,29,,
KPSEA,26,,
ID,24,,
COP,23,,
PS,22,,
CSA,21,,
KRA,21,,
SMS,21,,
AIDS,18,,
KICD,18,,
IFAD,18,,
TIMS,16,,
AATF,16,,
KENYA,16,,
AI,14,,
CBA,14,,
NSDCC,14,,
UHC,12,,
NHIF,11,,
CBK,10,,
APS,8,,
CBD,8,,
TPAD,8,,
KICC,8,,
PSC,8,,
TUO,8,,
ACAT,8,,
KJSEA,8,,
MAY,7,,
AYAKI,7,,
ICT,7,,
PIN,7,,
CAAFIMAADKA,7,,
TAR,7,,
KNCHR,6,,
XAALADDA,6,,
WARBIXINTA,6,,
CHOTH,6,,
PRWG,6,,
IG,6,,
CHALO,6,,
PCVE,6,,
KDF,6,,
NPSC,6,,
HSS,6,,
KRCS,6,,
CAW,6,,
MNA,6,,
BBI,6,,
UDA,6,,
SITREP,6,,
ABICH,6,,
AP,6,,
AM,6,,
CCTV,6,,
OMR,6,,
KBC,6,,
UNICEF,6,,
KNAP,6,,
ASAL,6,,
NCRC,5,,
TUDO,5,,
GM,5,,
NSSF,5,,
KINDEGI,5,,
NGO,5,,
WASAARADDA,5,,
IPM,5,,
YIER,5,,
RIPOT,5,,
WECHE,5,,
IMLU,4,,
VPN,4,,
KEPHIS,4,,
TVETA,4,,
CHIENG,4,,
SUNCSA,4,,
CHOKO,4,,
USAID,4,,
IOM,4,,
UK-CGIAR,4,,
CNAP,4,,
WHS,4,,
NCTC,4,,
ATM,4,,
KEMRI,4,,
WRA,4,,
OGP,4,,
OFFICE,4,,
IED,4,,
GE,4,,
AAR,4,,
DHAGEYSO,4,,
ANC,4,,
TALLAALKA,4,,
NYS,4,,
STEM,4,,
KMD,4,,
KNH,4,,
MOH,4,,
MCA,4,,
IT,3,,
IGAD,3,,
CSPM,3,,
ATPU,3,,
EU,3,,
DIIWAAN,3,,
MPESA,3,,
UN,3,,
FAO,3,,
WRS,3,,
CRB,3,,
KWS,3,,
JOGO,3,,
WTO,3,,
KCHR,3,,
USB,3,,
NOW,3,,
TV,3,,
ICIPE,3,,
CVR,3,,
PTSD,3,,
BULURO,2,,
GOYO,2,,
NYING,2,,
CGIAR,2,,
CHAKO,2,,
UNHCR,2,,
OER,2,,
MEDO,2,,
CHIS,2,,
PINY,2,,
WUOTH,2,,
CHEN,2,,
KMTC,2,,
RUSH,2,,
CBROP,2,,
PCR,2,,
CBHIS,2,,
MOTIMORE,2,,
DRO,2,,
CSAP,2,,
TODAY,2,,
HADDII,2,,
ILRI,2,,
CA,2,,
NSF,2,,
GOOD,2,,
ARTICLE,2,,
FM,2,,
DL,2,,
DAAWO,2,,
TTC,2,,
GELIN,2,,
IYADOO,2,,
DOORASHADA,2,,
KTTC,2,,
VR,2,,
WASH,2,,
NPW,2,,
REG,2,,
KIEMS,2,,
FPE,2,,
KSL,2,,
SRH,2,,
MP,2,,
SNE,2,,
NG'ANO,2,,
QR,2,,
KCRS,2,,
III,2,,
IFO,2,,
MM,2,,
AKU,2,,
ADP,2,,
JKIA,2,,
AD,2,,
LPG,2,,
FOP,2,,
SNV,2,,
DHS,2,,
BFHI,2,,
TOT,2,,
FNRP,2,,
UNDP,2,,
ACSM,2,,
KEPSSI,2,,
ECD,2,,
ENOUGH,2,,
UNSDCF,2,,
KAA,2,,
BBC,2,,
JLTM,2,,
UNFSS,2,,
CVE,2,,
BMI,2,,
CSA-SDG,2,,
ETIMS,2,,
PRAPS,2,,
MTRH,2,,
PBR,2,,
IBAD,2,,
CHV,2,,
IFD,2,,
ODI,2,,
FO,2,,
FKE,2,,
PAD,2,,
NSA,2,,
HEAD,2,,
KEVEVAPI,2,,
JP,2,,
SEEDS,2,,
SFSA,2,,
AMS,2,,
MICCA,2,,
NIWETU,2,,
NSCVE,2,,
PBO,2,,
KLIF,2,,
SCM,2,,
EOP,2,,
ICDN,2,,
BCG,2,,
CFS,2,,
MSA,2,,
EGMS,2,,
NDITC,2,,
TAIFA,2,,
PSS,2,,
KMFRI,2,,
ODM,2,,
ELRC,2,,
NMS,2,,
DCP,2,,
CDC,2,,
KERRA,2,,
PPLC,2,,
NEMA,2,,
CRJ,2,,
CECM,2,,
NACCSC,2,,
ODPP,2,,
GAIN,2,,
UK,2,,
LGBTQ,2,,
AK,2,,
TUKO,2,,
WIBA,2,,
CCF,2,,
DOSHS,2,,
ECK,2,,
IIEC,2,,
SACCO,2,,
IFES,2,,
GNDEM,2,,
KPC,2,,
GUDDOOMIYAHA,2,,
