PSA_Id,Domain,English,Kiswahili,Dholuo,Kiswahili_accurate,Dholuo_accurate,Reviewer_comments,Corrected_Dholuo,Corrected_Kiswahili
828,Health,"Nairobi, Kajiado, Machakos, Kiambu & Nakuru counties are individually and collectively declared a disease infected area. There shall be a cessation of movement by road, rail, air in to & out of these areas effective midnight","Kaunti za Nairobi, Kajiado, Machakos, Kiambu na Nakuru zimetangazwa kuwa eneo lililoathiriwa na magonjwa moja moja na kwa pamoja. Kutakuwa na kusimamishwa kwa usafiri kwa barabara, reli, hewa kuingia na kutoka katika maeneo haya kuanzia saa sita usiku.","Kaunti mag Nairobi, Kajiado, Machakos, Kiambu kod Nakuru, ka ng'ato ka ng'ato kuomgi, kod ka gin kanyachiel, oseyudo ni gin kuonde ma tuwono landoree. Dhano ok nyal wuotho e nderni, e gach reru, kata e ndege ka gidonjo kata ka gia e alworago chakre sa auchiel otieno",Yes,No,Corrected verb form and improved natural fluency.,Luok lweti kinde duto.,
3392,Agriculture,Protect your sunflower from termites by practicing timely weeding.,Linda alizeti yako dhidi ya mchwa kwa kupalilia kwa wakati.,Rit maua mari mar chieng' mondo kik oyud winyo kuom timo puonjruok mar ng'ado yien e kinde mowinjore.,Yes,Yes,,,
2919,Health,COVID-19 Outbreak in Kenya Daily report SITREP-131 26-Jul-2020,Mlipuko wa COVID-19 nchini Kenya Ripoti ya kila siku SITREP-131 26-Jul-2020,Tuwo mar COVID-19 e piny Kenya Ripot ma pile pile mar SITREP-131 tarik 26 dwe mar Jula-2020,Yes,Yes,,,
4075,Education,Any inadequate sanitation facilities affecting learners at special needs unit should be raised during exam preparation discussions.,vyoo visivyotosha yoyote inayoathiri wanafunzi katika kitengo cha mahitaji maalum inapaswa kuibuliwa wakati wa majadiliano ya maandalizi ya mtihani.,Gimoro amora ma ok oromo mar rito ler ma mulo jopuonjre e unit mar dwaro makende onego oketgi e kinde ma itimo mbaka mag ikruok mar penj.,Yes,Yes,,,
3813,Education,"As part of improving day secondary school, parents are asked to support keeping a study timetable at home.","Kama sehemu ya kuboresha shule ya upili ya kutwa, wazazi wanaombwa kusaidia kuweka ratiba ya masomo nyumbani.","Kaka achiel kuom yore mag bero skul mar sekondari mar odiechieng', ikwayo jonyuol mondo ochung' ne keto chenro mar somo e ot.",Yes,No,Improved grammatical agreement.,...,
2008,Security & Safety,Be wary of strangers offering unsolicited help with ATMs or banking.,Kuwa mwangalifu na wageni wanaotoa msaada usioombwa na ATM au benki.,Tang' gi joma ok ing'eyo ma nyalo konyi tiyo gi gige pesa kata gige bengi.,Yes,Yes,,,
825,Health,"Coronavirus: A lockdown in Kenya is an option, but taxes won't be lifted","Virusi vya Korona: Kufungiwa nchini Kenya ni chaguo, lakini kodi hazitaondolewa","Coronavirus: Geng'o ji e piny Kenya en yiero, to osuru ok bi gol",Yes,Yes,,,
565,Education,Rift Valley Technical Training Institute leads in competency-based TVET.,Taasisi ya Mafunzo ya Ufundi ya Bonde la Ufa inaongoza katika TVET inayotegemea uwezo.,Rift Valley Technical Training Institute ema tayo e weche mag tiegruok gi tiegruok e okang' mamalo.,Yes,Yes,,,
3760,Agriculture,Combine improving drainage with proper spacing to boost your coffee yield.,Changanya kuboresha mifereji ya maji na nafasi sahihi ili kuongeza mavuno ya kahawa.,Riw bero yor pi kod keto thuolo mowinjore mondo omed kelo kahawa mari.,Yes,Yes,,,
1908,Security & Safety,"""If you receive an email asking you to verify your bank account, dont click it's phishing. Report to the DCI Cybercrime Unit.""","""Ukipokea barua pepe inayokuomba uthibitishe akaunti yako ya benki, usibofye ni ulaghai. Ripoti kwa Kitengo cha Uhalifu wa Mtandaoni cha DCI.""","""Ka imiyo barua-pepe ma kwayo ni mondo ine ka in gi bengi, kik idwok e wi wachno.",Yes,No,"Truncated -- drops ""Report to the DCI Cybercrime Unit.""","""Ka iyudo barua-pepe makwayo mondo iyie gi akaunti mari mar bengi, kik idwok nikech en wuond. Chiw ripot ne DCI Cybercrime Unit.""",
