PSA_Id,Domain,English,Kiswahili,Ekegusii,Class,Source,English_clean,Kiswahili_clean,Ekegusii_clean,codeswitch_tokens,has_codeswitch,ekegusii_caps_ratio,codeswitch_tokens_v2,is_boilerplate,English_clean_n_words,English_clean_n_tokens,Kiswahili_clean_n_words,Kiswahili_clean_n_tokens,Ekegusii_clean_n_words,Ekegusii_clean_n_tokens,English_clean_tokens_str,Kiswahili_clean_tokens_str,Ekegusii_clean_tokens_str
1,Education,Comprehensive COVID-19 health and safety protocols for school reopening including mandatory masks and temperature monitoring,Itifaki kamili za afya na usalama za COVID-19 kwa ajili ya kufungua shule ikiwa ni pamoja na barakoa za lazima na ufuatiliaji wa halijoto,Ase oboikeranu amachiko obochenu igoro yendwari Yenyamayaa (COVID-19) ase chisukuru koigora amo nogochika kobeka ebitambaa biogotuma emenwa nechiomioro na gopima ribera ase omobere,PSA,original_baseline_dataset,Comprehensive COVID-19 health and safety protocols for school reopening including mandatory masks and temperature monitoring,Itifaki kamili za afya na usalama za COVID-19 kwa ajili ya kufungua shule ikiwa ni pamoja na barakoa za lazima na ufuatiliaji wa halijoto,Ase oboikeranu amachiko obochenu igoro yendwari Yenyamayaa (COVID-19) ase chisukuru koigora amo nogochika kobeka ebitambaa biogotuma emenwa nechiomioro na gopima ribera ase omobere,['COVID'],TRUE,0.045751634,['COVID'],FALSE,15,24,24,46,23,68,Comprehensive CO ##VI ##D - 19 health and safety protocol ##s for school re ##open ##ing including mandato ##ry mask ##s and temperature monitoring,It ##ifa ##ki kami ##li za af ##ya na usa ##lama za CO ##VI ##D - 19 kwa aj ##ili ya ku ##fung ##ua shu ##le iki ##wa ni pamoja na bara ##koa za la ##zima na u ##fu ##ati ##lia ##ji wa hali ##jot ##o,As ##e ob ##oi ##kera ##nu amach ##iko ob ##oche ##nu ig ##oro ye ##nd ##wari Yen ##yama ##ya ##a ( CO ##VI ##D - 19 ) as ##e chi ##su ##kur ##u ko ##igo ##ra amo nog ##och ##ika ko ##bek ##a e ##bita ##mba ##a bio ##got ##uma em ##en ##wa ne ##chio ##mio ##ro na go ##pi ##ma ri ##bera as ##e om ##obe ##re
2,Education,Digital learning platform providing free educational content during COVID-19 pandemic for remote learning continuity,Jukwaa la kujifunza kidijitali linalotoa maudhui ya kielimu bila malipo wakati wa janga la COVID-19 kwa ajili ya mwendelezo wa kujifunza kwa mbali,Omoreberio bwamasomo bwechisemi o'Kenya goetera enchera yegedichitari nigo biakorwa amaosomo bosa chingaki chiendwari ya COVID-19 erio goikerania amosomo kogenderera,PSA,original_baseline_dataset,Digital learning platform providing free educational content during COVID-19 pandemic for remote learning continuity,Jukwaa la kujifunza kidijitali linalotoa maudhui ya kielimu bila malipo wakati wa janga la COVID-19 kwa ajili ya mwendelezo wa kujifunza kwa mbali,Omoreberio bwamasomo bwechisemi o'Kenya goetera enchera yegedichitari nigo biakorwa amaosomo bosa chingaki chiendwari ya COVID-19 erio goikerania amosomo kogenderera,['COVID'],TRUE,0.048951049,['COVID'],FALSE,14,21,23,52,19,57,Digital learning platform providing free educational content during CO ##VI ##D - 19 pan ##demi ##c for remote learning continu ##ity,Ju ##kwa ##a la ku ##ji ##fu ##nza ki ##dij ##ital ##i li ##nal ##oto ##a mau ##dh ##ui ya ki ##eli ##mu bila mali ##po wakati wa jan ##ga la CO ##VI ##D - 19 kwa aj ##ili ya m ##wende ##lez ##o wa ku ##ji ##fu ##nza kwa m ##bali,Om ##ore ##beri ##o b ##wa ##mas ##omo b ##we ##chis ##emi o ' Kenya go ##etera en ##chera ye ##ged ##ichi ##tari ni ##go bi ##ako ##r ##wa ama ##oso ##mo bos ##a chi ##nga ##ki chien ##dw ##ari ya CO ##VI ##D - 19 eri ##o go ##iker ##ania amo ##som ##o ko ##gender ##era
3,Education,KUCCPS portal will open in March 2025 for university placement and course selection for 2024 KCSE candidates,Lango la KUCCPS litafunguliwa Machi 2025 kwa nafasi za chuo kikuu na uteuzi wa kozi kwa watahiniwa wa KCSE wa 2024,Eintaneti yekeombe keria ekenen gekorangeria abana gochia eyunifasisiti nechikorechi (KUCCP) neigoro omotienyi ogatato omwaka 2025 noigore ase abana beyunifasity na gochora chikosi chiabo ase abana baria barigete amatemwa abo esekondari 2024,PSA,original_baseline_dataset,KUCCPS portal will open in March 2025 for university placement and course selection for 2024 KCSE candidates,Lango la KUCCPS litafunguliwa Machi 2025 kwa nafasi za chuo kikuu na uteuzi wa kozi kwa watahiniwa wa KCSE wa 2024,Eintaneti yekeombe keria ekenen gekorangeria abana gochia eyunifasisiti nechikorechi (KUCCP) neigoro omotienyi ogatato omwaka 2025 noigore ase abana beyunifasity na gochora chikosi chiabo ase abana baria barigete amatemwa abo esekondari 2024,['KUCCP'],TRUE,0.029850746,['KUCCP'],FALSE,17,22,21,40,31,88,K ##UC ##CP ##S portal will open in March 2025 for university placement and course selection for 202 ##4 KC ##SE candidates,Lang ##o la K ##UC ##CP ##S lit ##af ##ung ##uli ##wa Mach ##i 2025 kwa na ##fasi za chu ##o ki ##kuu na ute ##uzi wa ko ##zi kwa wat ##ahi ##ni ##wa wa KC ##SE wa 202 ##4,Ein ##tane ##ti ye ##ke ##omb ##e ker ##ia ek ##enen ge ##kor ##anger ##ia ab ##ana go ##chia e ##yu ##ni ##fasi ##sit ##i ne ##chi ##kor ##ech ##i ( K ##UC ##CP ) nei ##gor ##o om ##oti ##eny ##i og ##ata ##to om ##wak ##a 2025 noi ##gore as ##e ab ##ana be ##yu ##ni ##fasi ##ty na go ##chor ##a chi ##kos ##i chia ##bo as ##e ab ##ana bar ##ia bar ##ige ##te amat ##em ##wa ab ##o ese ##konda ##ri 202 ##4
4,Education,Target to increase school feeding beneficiaries from 1.9 million to over 10 million children by 2030,Lengo ni kuongeza wanufaika wa chakula shuleni kutoka milioni 1.9 hadi zaidi ya watoto milioni 10 ifikapo mwaka 2030,Norengete kogesa abana bakoyeria nechisukuru korwa chimirioni 1.9 goika chimirioni 10 nyuma ya omwaka 2030,PSA,original_baseline_dataset,Target to increase school feeding beneficiaries from 1.9 million to over 10 million children by 2030,Lengo ni kuongeza wanufaika wa chakula shuleni kutoka milioni 1.9 hadi zaidi ya watoto milioni 10 ifikapo mwaka 2030,Norengete kogesa abana bakoyeria nechisukuru korwa chimirioni 1.9 goika chimirioni 10 nyuma ya omwaka 2030,[],FALSE,0.012048193,[],FALSE,16,20,19,32,15,36,Target to increase school feeding bene ##fici ##aries from 1 . 9 million to over 10 million children by 2030,Len ##go ni ku ##onge ##za wa ##nu ##fa ##ika wa cha ##kula shu ##leni kutoka milioni 1 . 9 hadi zaidi ya wat ##oto milioni 10 if ##ika ##po mwaka 2030,Nor ##eng ##ete ko ##ges ##a ab ##ana bak ##oyer ##ia ne ##chis ##uku ##ru kor ##wa chim ##iri ##oni 1 . 9 go ##ika chim ##iri ##oni 10 ny ##uma ya om ##wak ##a 2030
5,Education,Launch of inclusive education programs with assistive technology for learners with disabilities,Uzinduzi wa programu za elimu jumuishi zenye teknolojia saidizi kwa wanafunzi wenye ulemavu,"Omoroberio bwogochaka chisemi ase bonsi goetera ebinto biria bogokonya emeuko, amatino na amamama ochakirwe ase abaremaru abwo bonsi",PSA,original_baseline_dataset,Launch of inclusive education programs with assistive technology for learners with disabilities,Uzinduzi wa programu za elimu jumuishi zenye teknolojia saidizi kwa wanafunzi wenye ulemavu,"Omoroberio bwogochaka chisemi ase bonsi goetera ebinto biria bogokonya emeuko, amatino na amamama ochakirwe ase abaremaru abwo bonsi",[],FALSE,0.00877193,[],FALSE,12,16,13,29,18,50,Launch of inclusive education programs with assist ##ive technology for learn ##ers with disa ##bili ##ties,Uz ##ind ##uzi wa programu za eli ##mu ju ##mui ##shi zen ##ye tek ##nol ##oji ##a said ##izi kwa wa ##na ##fu ##nzi we ##nye ul ##ema ##vu,"Om ##oro ##beri ##o b ##wo ##go ##cha ##ka chi ##sem ##i as ##e bons ##i go ##etera e ##bin ##to biri ##a bog ##okon ##ya em ##eu ##ko , amat ##ino na ama ##ma ##ma och ##aki ##r ##we as ##e ab ##are ##mar ##u ab ##wo bons ##i"
6,Education,"Advertisement for 46,000 teaching positions across primary, junior secondary, and secondary schools with application deadline October 7, 2024","Tangazo la nafasi 46,000 za kufundisha katika shule za msingi, sekondari za chini, na sekondari huku tarehe ya mwisho ya kutuma maombi ikiwa Oktoba 7, 2024","Amabaga 46,000 yabarimu beukuru yoboroso atangasirwe, chisukuru chiesekenderi ya inse, amo nechisekenderi atangasirwe nomoerio bwogotoma gosaba emeremo eyio nechitariki 7 omotienyi oikomi, omwaka 2024",PSA,original_baseline_dataset,"Advertisement for 46,000 teaching positions across primary, junior secondary, and secondary schools with application deadline October 7, 2024","Tangazo la nafasi 46,000 za kufundisha katika shule za msingi, sekondari za chini, na sekondari huku tarehe ya mwisho ya kutuma maombi ikiwa Oktoba 7, 2024","Amabaga 46,000 yabarimu beukuru yoboroso atangasirwe, chisukuru chiesekenderi ya inse, amo nechisekenderi atangasirwe nomoerio bwogotoma gosaba emeremo eyio nechitariki 7 omotienyi oikomi, omwaka 2024",[],FALSE,0.006134969,[],FALSE,18,28,26,51,24,74,"Ad ##vert ##ise ##ment for 46 , 000 teaching positions across primary , junior secondary , and secondary schools with application dead ##line October 7 , 202 ##4","Tang ##azo la na ##fasi 46 , 000 za ku ##fund ##isha katika shu ##le za ms ##ingi , se ##konda ##ri za chini , na se ##konda ##ri hu ##ku tarehe ya m ##wis ##ho ya ku ##tum ##a mao ##mbi iki ##wa Ok ##to ##ba 7 , 202 ##4","Ama ##ba ##ga 46 , 000 ya ##bari ##mu be ##uku ##ru yo ##boro ##so ata ##nga ##sir ##we , chi ##su ##kur ##u chiese ##kende ##ri ya ins ##e , amo ne ##chis ##eken ##der ##i ata ##nga ##sir ##we nom ##oer ##io b ##wo ##got ##oma go ##saba em ##ere ##mo e ##yi ##o ne ##chi ##tari ##ki 7 om ##oti ##eny ##i o ##iko ##mi , om ##wak ##a 202 ##4"
7,Education,"1,500 new special needs units built . Transfer your child before Jan 6!","Vitengo vipya 1,500 vya mahitaji maalum vilivyojengwa. Hamishia mtoto wako kabla ya Januari 6!","Ebirasi 1,500 biogosomera biabana baria bare noboremaru biaagachirwe, rusia na koira omwana oo nyuma ya chitariki 6 omotienyi omotangani!",PSA,original_baseline_dataset,"1,500 new special needs units built – transfer your child before Jan 6!","Vitengo vipya 1,500 vya mahitaji maalum vilivyojengwa. Hamishia mtoto wako kabla ya Januari 6!","Ebirasi 1,500 biogosomera biabana baria bare noboremaru biaagachirwe, rusia na koira omwana oo nyuma ya chitariki 6 omotienyi omotangani!",[],FALSE,0.009009009,[],FALSE,13,16,14,33,19,51,"1 , 500 new special needs units built [UNK] transfer your child before Jan 6 !","Vi ##ten ##go vi ##pya 1 , 500 vya mah ##ita ##ji maal ##um vil ##iv ##yo ##jeng ##wa . Ham ##ishi ##a mto ##to wa ##ko ka ##bla ya Januari 6 !","E ##bir ##asi 1 , 500 bio ##gos ##ome ##ra bi ##aban ##a bar ##ia bare no ##bore ##mar ##u bi ##aag ##achi ##r ##we , rus ##ia na ko ##ira om ##wana o ##o ny ##uma ya chi ##tari ##ki 6 om ##oti ##eny ##i om ##ota ##ngan ##i !"
8,Education,100% transition policy: Every child must be in school January 6.  no excuses!,Sera ya mpito 100%: Kila mtoto lazima awe shuleni Januari 6. Hakuna visingizio!,Richiko riogotamboka gochia ayio emia ase emia: Kera omwana goika abe osoire esukuru nyuma yechitariki 6 omotienyi omotang'ani. Gotamera kende tikoiyo!,PSA,original_baseline_dataset,100% transition policy: Every child must be in school January 6 – no excuses!,Sera ya mpito 100%: Kila mtoto lazima awe shuleni Januari 6 hakuna visingizio!,Richiko riogotamboka gochia ayio emia ase emia: Kera omwana goika abe osoire esukuru nyuma yechitariki 6 omotienyi omotang'ani. Gotamera kende tikoiyo!,[],FALSE,0.023809524,[],FALSE,14,19,13,25,21,56,100 % transition policy : Every child must be in school January 6 [UNK] no ex ##cus ##es !,Sera ya m ##pito 100 % : Ki ##la mto ##to la ##zima aw ##e shu ##leni Januari 6 hak ##una visi ##ngi ##zio !,Rich ##iko rio ##got ##am ##bok ##a go ##chia ay ##io em ##ia as ##e em ##ia : Ker ##a om ##wana go ##ika ab ##e oso ##ire es ##uku ##ru ny ##uma ye ##chi ##tari ##ki 6 om ##oti ##eny ##i om ##ota ##ng ' ani . Got ##amer ##a kende tik ##oi ##yo !
9,Education,100% transition policy: No child to repeat Class 8 from 2025.,Sera ya mpito 100%: Hakuna mtoto kurudia Darasa la 8 kuanzia 2025.,Richiko riogotamboka gochia ayio emia ase emia: Mwana onde tari orairore ekerasi kia 8 korwa omwaka 2025.,PSA,original_baseline_dataset,100% transition policy: No child to repeat Class 8 from 2025.,Sera ya mpito 100%: Hakuna mtoto kurudia Darasa la 8 kuanzia 2025.,Richiko riogotamboka gochia ayio emia ase emia: Mwana onde tari orairore ekerasi kia 8 korwa omwaka 2025.,[],FALSE,0.024390244,[],FALSE,11,14,12,23,17,39,100 % transition policy : No child to repeat Class 8 from 2025 .,Sera ya m ##pito 100 % : Ha ##kun ##a mto ##to kuru ##dia Dara ##sa la 8 ku ##anz ##ia 2025 .,Rich ##iko rio ##got ##am ##bok ##a go ##chia ay ##io em ##ia as ##e em ##ia : M ##wana onde tar ##i ora ##iro ##re ek ##eras ##i ki ##a 8 kor ##wa om ##wak ##a 2025 .
10,Education,100% transition: Every Grade 6 must report to JSS  no staying home!,"Mpito 100%: Kila Darasa la 6 lazima aripoti kwa JSS ""hakuna kukaa nyumbani!""",Okonganya emia ase amia: Kera omwana bwegeredi gia 6 goika soe esukuru yesekenderi ya inse (JSS) kobera nka tikoiyo!,PSA,original_baseline_dataset,100% transition: Every Grade 6 must report to JSS – no staying home!,"Mpito 100%: Kila Darasa la 6 lazima aripoti kwa JSS ""hakuna kukaa nyumbani!""",Okonganya emia ase amia: Kera omwana bwegeredi gia 6 goika soe esukuru yesekenderi ya inse (JSS) kobera nka tikoiyo!,['JSS'],TRUE,0.053763441,['JSS'],FALSE,13,18,13,29,19,44,100 % transition : Every Grade 6 must report to J ##SS [UNK] no stay ##ing home !,"M ##pito 100 % : Ki ##la Dara ##sa la 6 la ##zima ari ##pot ##i kwa J ##SS "" hak ##una ku ##kaa ny ##umba ##ni ! """,Oko ##ngan ##ya em ##ia as ##e ami ##a : Ker ##a om ##wana b ##wege ##redi gia 6 go ##ika soe es ##uku ##ru ye ##sek ##ender ##i ya ins ##e ( J ##SS ) ko ##bera n ##ka tik ##oi ##yo !
