PSA_Id,Domain,English,Kiswahili,Dholuo,Somali,Class,Source
1,Education,Comprehensive COVID-19 health and safety protocols for school reopening including mandatory masks and temperature monitoring,Itifaki kamili za afya na usalama za COVID-19 kwa ajili ya kufungua shule ikiwa ni pamoja na barakoa za lazima na ufuatiliaji wa halijoto,Chenro mag thieth: Chenro mag thieth kod ritruok kuom COVID-19 ma oriwo tiyo gi maske kod ng'iyo chal mar liet e kinde ma skul chako tiyo kendo,Barnaamijyada caafimaadka iyo amniga ee COVID-19 ee dhamaystiran ee dib u furitaanka dugsiyada oo ay ku jiraan maaskaro qasab ah iyo kormeerka heerkulka,PSA,original_baseline_dataset
2,Education,Digital learning platform providing free educational content during COVID-19 pandemic for remote learning continuity,Jukwaa la kujifunza kidijitali linalotoa maudhui ya kielimu bila malipo wakati wa janga la COVID-19 kwa ajili ya mwendelezo wa kujifunza kwa mbali,Kenya Education Cloud: Ohinga mar somo mar dijitol ma chiwo weche mag somo maonge chudo e kinde mag tuo mar COVID-19 mondo ji opuonjre mabor,Barashada dhijitaalka ah ee bixisa waxyaabaha waxbarasho ee bilaashka ah inta lagu jiro masiibada COVID-19 si loo sii wado barashada fog,PSA,original_baseline_dataset
3,Education,KUCCPS portal will open in March 2025 for university placement and course selection for 2024 KCSE candidates,Lango la KUCCPS litafunguliwa Machi 2025 kwa nafasi za chuo kikuu na uteuzi wa kozi kwa watahiniwa wa KCSE wa 2024,KUCCPS Portal: KUCCPS portal biro yawore e dwe mar Mach higa mar 2025 mar keto ji e yunivasiti kod yiero jopuonjre mag KCSE e higa mar 2024,Gudaha KUCCPS waxaa la furi doonaa bishii Maarso ee sannadka 2025 si loo helo booska jaamacadaha iyo xulashada koorsooyinka loogu talagalay musharixiinta 2024 ee KCSE,PSA,original_baseline_dataset
4,Education,Target to increase school feeding beneficiaries from 1.9 million to over 10 million children by 2030,Lengo ni kuongeza wanufaika wa chakula shuleni kutoka milioni 1.9 hadi zaidi ya watoto milioni 10 ifikapo mwaka 2030,Medo kwan mar pidho nyithindo e skunde: Dwaro mar medruok mar joma yudo kony mar chiemo e skunde kowuok e nyithindo milion 1.9 nyaka nyithindo mokalo milion 10 e higa mar 2030,Ujeedada ah in la kordhiyo dadka ka faa'iideysta quudinta dugsiga laga bilaabo 1.9 milyan ilaa in ka badan 10 milyan oo caruur ah marka la gaaro sanadka 2030,PSA,original_baseline_dataset
5,Education,Launch of inclusive education programs with assistive technology for learners with disabilities,Uzinduzi wa programu za elimu jumuishi zenye teknolojia saidizi kwa wanafunzi wenye ulemavu,Somo mar Dwaro Manyien: Chako chenro mag somo ma oriwo ji duto gi teknoloji makonyo jopuonjre ma nigi ng'ol,Bilaabista barnaamijyo waxbarasho oo dhanka ah oo leh tiknoolajiyad caawiya ardayda naafada ah,PSA,original_baseline_dataset
6,Education,"Advertisement for 46,000 teaching positions across primary, junior secondary, and secondary schools with application deadline October 7, 2024","Tangazo la nafasi 46,000 za kufundisha katika shule za msingi, sekondari za chini, na sekondari huku tarehe ya mwisho ya kutuma maombi ikiwa Oktoba 7, 2024","TSC Recruitment: Lando mar tije mag puonjo maromo ji 46,000 e skunde mag praimari, junia sekondari, kod sekondari ka tarik mogik mar kwayo en Oktoba 7, 2024","Xayeysiis loogu talagalay 46,000 oo jago oo macalimiin ah oo ku yaal dugsiyada hoose, hoose, iyo sare oo leh waqtiga ugu dambeeya ee codsiga Oktoobar 7, 2024",PSA,original_baseline_dataset
7,Education,"1,500 new special needs units built – transfer your child before Jan 6!","Vitengo vipya 1,500 vya mahitaji maalum vilivyojengwa. Hamishia mtoto wako kabla ya Januari 6!","Ne oger udi 1,500 manyien mag joma nigi dwaro makende. lok nyathini kapok Januar 6 ochopo!","1,500 oo qaybood oo cusub oo loogu talagalay baahiyaha gaarka ah ayaa la dhisay si aad ilmahaaga ugu wareejiso 6-da Janaayo ka hor!",PSA,original_baseline_dataset
8,Education,100% transition policy: Every child must be in school January 6 – no excuses!,Sera ya mpito 100%: Kila mtoto lazima awe shuleni Januari 6 hakuna visingizio!,Chenro mar lokruok mar 100%: Nyithindo duto nyaka bed e skul Januar 6 onge weche ma digiloko!,Siyaasadda gudbinta 100%: caruur kastaa waa inay iskuulka tagaan 6-da Janaayo.,PSA,original_baseline_dataset
9,Education,100% transition policy: No child to repeat Class 8 from 2025.,Sera ya mpito 100%: Hakuna mtoto kurudia Darasa la 8 kuanzia 2025.,Chenro mar lokruok mar 100%: Onge nyathi mabiro nwoyo somo mar klas 8 chakre higa mar 2025.,Siyaasadda gudbinta 100%: Ilmaha aan dib u dhicin fasalka 8 laga bilaabo 2025.,PSA,original_baseline_dataset
10,Education,100% transition: Every Grade 6 must report to JSS – no staying home!,"Mpito 100%: Kila Darasa la 6 lazima aripoti kwa JSS ""hakuna kukaa nyumbani!""",Lokruok mar 100%: Ng'ato ka ng'ato manie klas mar auchiel nyaka dhi e ofis mar JSS.,100% gudbinta: fasalka 6aad oo dhan waa inuu u sheegaa JSS in uusan guriga joogin!,PSA,original_baseline_dataset
