PSA_Id,Domain,Class,English,Kiswahili,Dholuo,Source,Date,Metadata
1,Education,PSA,[Health Protocols] Comprehensive COVID-19 health and safety protocols for school reopening including mandatory masks and temperature monitoring,[Itifaki za Afya] Itifaki kamili za afya na usalama za COVID-19 kwa ajili ya kufungua shule ikiwa ni pamoja na barakoa za lazima na ufuatiliaji wa halijoto,Chenro mag thieth: Chenro mag thieth kod ritruok kuom COVID-19 ma oriwo tiyo gi maske kod ng'iyo chal mar liet e kinde ma skul chako tiyo kendo,original_baseline_dataset,2026-07-11,PSA
2,Education,PSA,[Kenya Education Cloud] Digital learning platform providing free educational content during COVID-19 pandemic for remote learning continuity,[Wingu la Elimu la Kenya] Jukwaa la kujifunza kidijitali linalotoa maudhui ya kielimu bila malipo wakati wa janga la COVID-19 kwa ajili ya mwendelezo wa kujifunza kwa mbali,Kenya Education Cloud: Ohinga mar somo mar dijitol ma chiwo weche mag somo maonge chudo e kinde mag tuo mar COVID-19 mondo ji opuonjre mabor,original_baseline_dataset,2026-07-11,PSA
3,Education,PSA,[KUCCPS Portal] KUCCPS portal will open in March 2025 for university placement and course selection for 2024 KCSE candidates,[Lango la KUCCPS] Lango la KUCCPS litafunguliwa Machi 2025 kwa nafasi za chuo kikuu na uteuzi wa kozi kwa watahiniwa wa KCSE wa 2024,KUCCPS Portal: KUCCPS portal biro yawore e dwe mar Mach higa mar 2025 mar keto ji e yunivasiti kod yiero jopuonjre mag KCSE e higa mar 2024,original_baseline_dataset,2026-07-11,PSA
4,Education,PSA,[School Feeding Scale-up] Target to increase school feeding beneficiaries from 1.9 million to over 10 million children by 2030,[Kuongezeka kwa Kiwango cha Kulisha Shuleni] Lengo ni kuongeza wanufaika wa chakula shuleni kutoka milioni 1.9 hadi zaidi ya watoto milioni 10 ifikapo mwaka 2030,Medo kwan mar pidho nyithindo e skunde: Dwaro mar medruok mar joma yudo kony mar chiemo e skunde kowuok e nyithindo milion 1.9 nyaka nyithindo mokalo milion 10 e higa mar 2030,original_baseline_dataset,2026-07-11,PSA
5,Education,PSA,[Special Needs Education] Launch of inclusive education programs with assistive technology for learners with disabilities,[Elimu ya Mahitaji Maalum] Uzinduzi wa programu za elimu jumuishi zenye teknolojia saidizi kwa wanafunzi wenye ulemavu,Somo mar Dwaro Manyien: Chako chenro mag somo ma oriwo ji duto gi teknoloji makonyo jopuonjre ma nigi ng'ol,original_baseline_dataset,2026-07-11,PSA
6,Education,PSA,"[TSC Recruitment] Advertisement for 46,000 teaching positions across primary, junior secondary, and secondary schools with application deadline October 7, 2024","[Kuajiri TSC] Tangazo la nafasi 46,000 za kufundisha katika shule za msingi, sekondari za chini, na sekondari huku tarehe ya mwisho ya kutuma maombi ikiwa Oktoba 7, 2024","TSC Recruitment: Lando mar tije mag puonjo maromo ji 46,000 e skunde mag praimari, junia sekondari, kod sekondari ka tarik mogik mar kwayo en Oktoba 7, 2024",original_baseline_dataset,2026-07-11,PSA
7,Education,PSA,"1,500 new special needs units built ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ transfer your child before Jan 6!","Vitengo vipya 1,500 vya mahitaji maalum vilivyojengwa. Hamishia mtoto wako kabla ya Januari 6!","Ne oger udi 1,500 manyien mag joma nigi dwaro makende. lok nyathini kapok Januar 6 ochopo!",original_baseline_dataset,2026-07-11,PSA
8,Education,PSA,100% transition policy: Every child must be in school January 6 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ no excuses!,Sera ya mpito 100%: Kila mtoto lazima awe shuleni Januari 6  hakuna visingizio!,Chenro mar lokruok mar 100%: Nyithindo duto nyaka bed e skul Januar 6 onge weche ma digiloko!,original_baseline_dataset,2026-07-11,PSA
9,Education,PSA,100% transition policy: No child to repeat Class 8 from 2025.,Sera ya mpito 100%: Hakuna mtoto kurudia Darasa la 8 kuanzia 2025.,Chenro mar lokruok mar 100%: Onge nyathi mabiro nwoyo somo mar klas 8 chakre higa mar 2025.,original_baseline_dataset,2026-07-11,PSA
10,Education,PSA,100% transition: Every Grade 6 must report to JSS ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ no staying home!,"Mpito 100%: Kila Darasa la 6 lazima aripoti kwa JSS ""hakuna kukaa nyumbani!""",Lokruok mar 100%: Ng'ato ka ng'ato manie klas mar auchiel nyaka dhi e ofis mar JSS.,original_baseline_dataset,2026-07-11,PSA
