Term,Frequency
Kenya,488
Nairobi,146
EACC,99
IEBC,98
WHO,75
KCSE,68
CBC,68
TVET,67
COVID-19,62
Ksh,60
Huduma,58
Mombasa,52
Garissa,48
Namba,44
HIV,41
Covid-19,38
Mpox,36
NPS,35
KNEC,34
Nakuru,33
Lamu,30
KUCCPS,30
SHA,30
Kisumu,30
Kakamega,29
IPOA,28
B,28
DCI,26
COP,26
KPSEA,26
Machakos,25
Kiambu,23
ID,22
Kitui,22
SMS,22
Bungoma,21
KRA,20
Kilifi,20
Taita,20
Busia,20
HELB,20
KICD,19
Taveta,19
IFAD,19
CSA,19
Red,18
National,18
Cross,18
Asia,18
Ruto,17
Migori,17
Nyandarua,17
Turkana,16
Newcastle,16
AATF,16
Tana,16
WhatsApp,16
A,15
Narok,15
Embu,15
Support,14
KENYA,14
County,14
Siaya,14
Nyeri,14
Elgeyo,14
CS,14
Meru,14
Mandera,14
NSDCC,14
TIMS,14
River,14
Wajir,14
CBA,13
Mahoo,13
GBV,12
NHIF,12
UHC,12
Marakwet,12
Kenyatta,12
Education,12
Marsabit,12
Baringo,12
Corrigenda,12
Somalia,12
AI,12
NACADA,12
Samburu,12
Grade,11
Isiolo,11
TB,11
Shabaab,10
EduTV,10
North,10
CBK,10
Sudan,10
Tanzania,10
Kakuma,10
Google,10
KNCHR,10
Safaricom,10
Nandi,10
Mbeere,10
Dadaab,10
Eldoret,10
Malaria,10
Kibra,10
Rurii,9
NTSA,9
Rift,9
South,9
Health,9
Juja,9
Murang,9
Form,9
Bonchari,9
M,9
Malava,8
Magoha,8
KSh,8
Play,8
PSC,8
AIDS,8
Kagwe,8
Ebola,8
Nguu,8
KICC,8
TPAD,8
Nigeria,8
Francis,8
APS,8
ACAT,8
Wafula,8
Barasa,8
Chebukati,8
Masumba,8
Z,7
Wi,7
KJSEA,7
Utawala,7
Mumias,7
Muminji,7
Ward,7
PS,7
Geoffrey,7
Fund,7
IEBCKenya,7
Fi,7
Jan,7
Citizen,7
C,7
CAW,7
Evurore,7
App,7
CCTV,7
Kiagu,7
Kabras,7
KEPHIS,7
EU,7
Ministry,7
AM,6
UNICEF,6
World,6
Kirinyaga,6
Tiaty,6
CBD,6
Diaspora,6
OMR,6
Africa,6
Pacific,6
Ruai,6
NCRC,6
Facebook,6
KCPE,6
KBC,6
NSSF,6
IG,6
Al,6
ASAL,6
Kajiado,6
Rwanda,6
India,6
Wanderi,6
Mary,6
Teachers,6
Muthoni,6
BBI,6
Kericho,6
University,6
Marburg,6
Nov,6
Apple,6
Ruku,6
Nyumba,6
Cloud,6
Kumi,6
Aga,6
Nyamira,6
James,6
Khan,6
KNAP,6
PCVE,6
HSS,6
KDF,6
Batalu,6
KRCS,6
KALRO,6
Dabaso,6
Ambulance,6
CGIAR,6
Gen,6
Kiambaa,6
Makueni,6
Kandara,6
Thaana,6
Police,6
Safari,6
TSC,6
COVID,6
YouTube,6
Service,6
AP,6
PRWG,6
Saba,5
E,5
News,5
Interior,5
Watch,5
Kisii,5
Institute,5
Matungu,5
IPM,5
Pull,5
Kabuchai,5
Kyome,5
Kitale,5
Gem,5
Ololmasani,5
Uasin,5
GM,5
Agriculture,5
Ethekon,5
Global,5
London,5
Uganda,5
MOH,5
Julius,5
Eldas,4
Reuters,4
Guardian,4
Mwangi,4
Rights,4
William,4
George,4
STEM,4
Human,4
Malawi,4
Spodoptera,4
Muguga,4
Mutonguni,4
EACCKenya,4
NG,4
KBCniYetu,4
CSPM,4
Thika,4
St,4
John,4
Abuja,4
Tharaka,4
Shella,4
Emurua,4
Gishu,4
Kadem,4
MCA,4
Ganda,4
Loiyangalani,4
NCTC,4
Show,4
PIN,4
Abakaile,4
VPN,4
Gmail,4
Store,4
USB,4
ICT,4
Missing,4
Voices,4
Dikirr,4
Egesa,4
Nyahururu,4
Homabay,4
UDA,4
Duale,4
Korir,4
Torome,4
Mwaura,4
Nyanza,4
GE,4
UK,4
AAR,4
Endo,4
MNA,4
KMD,4
Nithi,4
FGM,4
SUNCSA,4
CNAP,4
ANC,4
Kalobeyei,4
WHS,4
Bay,4
Saitoti,4
Kwale,4
Ukraine,4
Moscow,4
Donbas,4
Anne,4
Pokot,4
Kachapin,4
Vibrio,4
Homa,4
USAID,4
Desmodium,4
Trans,4
Laikipia,4
Waiguru,4
Kiai,4
Kigali,4
Mugambi,4
Martha,4
Angata,4
Koome,4
D,4
Trump,4
Vihiga,4
KEMRI,4
Power,4
Mutahi,4
