PSA_Id,Domain,English,Kiswahili,Dholuo,Somali,Class,Source
7,Education,"1,500 new special needs units built – transfer your child before Jan 6!","Vitengo vipya 1,500 vya mahitaji maalum vilivyojengwa. Hamishia mtoto wako kabla ya Januari 6!","Ne oger udi 1,500 manyien mag joma nigi dwaro makende. lok nyathini kapok Januar 6 ochopo!","1,500 oo qaybood oo cusub oo loogu talagalay baahiyaha gaarka ah ayaa la dhisay si aad ilmahaaga ugu wareejiso 6-da Janaayo ka hor!",PSA,original_baseline_dataset
8,Education,100% transition policy: Every child must be in school January 6 – no excuses!,Sera ya mpito 100%: Kila mtoto lazima awe shuleni Januari 6 hakuna visingizio!,Chenro mar lokruok mar 100%: Nyithindo duto nyaka bed e skul Januar 6 onge weche ma digiloko!,Siyaasadda gudbinta 100%: caruur kastaa waa inay iskuulka tagaan 6-da Janaayo.,PSA,original_baseline_dataset
10,Education,100% transition: Every Grade 6 must report to JSS – no staying home!,"Mpito 100%: Kila Darasa la 6 lazima aripoti kwa JSS ""hakuna kukaa nyumbani!""",Lokruok mar 100%: Ng'ato ka ng'ato manie klas mar auchiel nyaka dhi e ofis mar JSS.,100% gudbinta: fasalka 6aad oo dhan waa inuu u sheegaa JSS in uusan guriga joogin!,PSA,original_baseline_dataset
11,Education,"15,000 full secondary scholarships for arid counties – apply before Nov 30 via county office!","Ufadhili kamili wa masomo 15,000 wa sekondari kwa kaunti kame ...","15,000 mar basaris mag sekondari ma opong'o ne counties ma onge pi, kwa kapok Novemba 30 ochopo kokalo kuom ofis mar county!","15,000 oo deeq waxbarasho oo dhameystiran oo loogu talagalay degmooyinka qalalan ayaa la dalban karaa 30-ka Nofeembar iyada oo loo marayo xafiiska degmada!",PSA,original_baseline_dataset
12,Education,"2,000 new mental health counselors deployed to secondary schools – book today!","Washauri wapya 2,000 wa afya ya akili waliotumwa katika shule za upili ""weka nafasi leo!""","Jochiw-parogo manyien 2,000 ma ne oor e skunde sekondar, ondikgi kawuono!","2,000 oo lataliye cusub oo caafimaadka dhimirka ah ayaa maanta loo adeegsaday dugsiyada sare.",PSA,original_baseline_dataset
15,Education,"3,000 new special needs teachers deployed – your child gets support from Jan!","Walimu wapya 3,000 wenye mahitaji maalum waliotumwa ""mtoto wako anapata usaidizi kutoka Jan!","Jopuonj manyien 3,000 ma nigi dwaro makende ne oket e skul. Nyathni yudo kony kowuok kuom Jan!","3,000 oo macallimiin cusub oo baahiyo gaar ah leh ayaa loo adeegsaday. Ilmahaagu wuxuu ka helayaa taageero Jan!",PSA,original_baseline_dataset
16,Education,500 schools get free counseling rooms – book session with your principal!,Shule 500 zinapata vyumba vya ushauri nasaha bila malipo na kuweka miadi na mkuu wa shule!,Skunde 500 yudo ute mag konyruok maonge chudo. Dhi ir japuonj maduong' mondo okonyi!,"500 dugsi ayaa helaya qolal la talin oo lacag la'aan ah, kalfadhiga buugaagta ee macalinkaaga!",PSA,original_baseline_dataset
27,Education,Adult education centers reopen January 13 – register free at any public primary school.,Vituo vya elimu ya watu wazima vitafunguliwa tena Januari 13 jiandikishe bure katika shule yoyote ya msingi ya umma.,Skunde mag joma dongo chako tiyo kendo Januar 13. Inyalo donjo maonge chudo e skul moro amora mar piny mar praimari.,Xarumaha waxbarashada dadka waaweyn ayaa dib u furmaya 13-ka Janaayo si bilaash ah loogu diiwaangeliyo dugsiyada hoose ee dowladda.,PSA,original_baseline_dataset
28,Education,Adult literacy classes resume Jan 13 – register free at chief's office now!,Madarasa ya kusoma na kuandika ya watu wazima yataanza tena Januari 13 jiandikishe bure katika ofisi ya mkuu wa shule sasa!,Puonjruok ndiko gi ndiko mar joma dongo dhi nyime Januar 13 donj e ofis maduong' maonge chudo!,Fasalka akhriska dadka waaweyn wuxuu bilaabmayaa 13-ka Janaayo. Isdiiwaangelinta waa lacag la'aan xafiiska madaxa hadda!,PSA,original_baseline_dataset
31,Education,All boarding schools must install fire alarms + sprinklers by Jan 6 – CS orders!,Shule zote za bweni lazima ziweke kengele za moto + vinyunyizio ifikapo Januari 6 - maagizo ya CS!,Skunde duto ma nigi boarding nyaka ti gi gik makwedo mach kod gik ma thiro pi kapok ochopo tarik 6 Januar kaluwore gi chike mag CS!,Dhammaan dugsiyada xanaanada ah waa in ay rakibtaan digniino dab-damis ah + waraabiyeyaal marka la gaaro 6-da Janaayo amarka CS!,PSA,original_baseline_dataset
